Device Name,Pin Name,X,Y,Layer,Net
BEAGLEBONE_REVC,VIA141,46329600000,39890700000,TOP,NetUnused
BEAGLEBONE_REVC,VIA141,46329600000,39890700000,LYR2_GND,NetUnused
BEAGLEBONE_REVC,VIA141,46329600000,39890700000,LYR3,NetUnused
BEAGLEBONE_REVC,VIA141,46329600000,39890700000,LYR4,NetUnused
BEAGLEBONE_REVC,VIA762,50482500000,21844000000,LYR5_PWR,G
BEAGLEBONE_REVC,VIA141,46329600000,39890700000,BOTTOM,NetUnused
BEAGLEBONE_REVC,VIA185,69132450000,37090350000,TOP,NetUnused
BEAGLEBONE_REVC,VIA185,69132450000,37090350000,LYR2_GND,NetUnused
BEAGLEBONE_REVC,VIA185,69132450000,37090350000,LYR3,NetUnused
BEAGLEBONE_REVC,VIA185,69132450000,37090350000,LYR4,NetUnused
BEAGLEBONE_REVC,VIA763,47625000000,21844000000,LYR5_PWR,G
BEAGLEBONE_REVC,VIA185,69132450000,37090350000,BOTTOM,NetUnused
BEAGLEBONE_REVC,VIA186,69132450000,40290750000,TOP,NetUnused
BEAGLEBONE_REVC,VIA186,69132450000,40290750000,LYR2_GND,NetUnused
BEAGLEBONE_REVC,VIA186,69132450000,40290750000,LYR3,NetUnused
BEAGLEBONE_REVC,VIA186,69132450000,40290750000,LYR4,NetUnused
BEAGLEBONE_REVC,VIA764,51129946000,27290008000,LYR5_PWR,G
BEAGLEBONE_REVC,VIA186,69132450000,40290750000,BOTTOM,NetUnused
BEAGLEBONE_REVC,VIA187,69932550000,28289250000,TOP,NetUnused
BEAGLEBONE_REVC,VIA187,69932550000,28289250000,LYR2_GND,NetUnused
BEAGLEBONE_REVC,VIA187,69932550000,28289250000,LYR3,NetUnused
BEAGLEBONE_REVC,VIA187,69932550000,28289250000,LYR4,NetUnused
BEAGLEBONE_REVC,VIA445,21272500000,5969000000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA187,69932550000,28289250000,BOTTOM,NetUnused
BEAGLEBONE_REVC,VIA188,73933304000,28289250000,TOP,NetUnused
BEAGLEBONE_REVC,VIA188,73933304000,28289250000,LYR2_GND,NetUnused
BEAGLEBONE_REVC,VIA188,73933304000,28289250000,LYR3,NetUnused
BEAGLEBONE_REVC,VIA188,73933304000,28289250000,LYR4,NetUnused
BEAGLEBONE_REVC,VIA446,71755000000,8255000000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA188,73933304000,28289250000,BOTTOM,NetUnused
BEAGLEBONE_REVC,VIA363,54330600000,32689800000,TOP,NetUnused
BEAGLEBONE_REVC,VIA363,54330600000,32689800000,LYR2_GND,NetUnused
BEAGLEBONE_REVC,VIA363,54330600000,32689800000,LYR3,NetUnused
BEAGLEBONE_REVC,VIA363,54330600000,32689800000,LYR4,NetUnused
BEAGLEBONE_REVC,VIA447,69342000000,23622000000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA363,54330600000,32689800000,BOTTOM,NetUnused
BEAGLEBONE_REVC,VIA364,45529500000,39090600000,TOP,NetUnused
BEAGLEBONE_REVC,VIA364,45529500000,39090600000,LYR2_GND,NetUnused
BEAGLEBONE_REVC,VIA364,45529500000,39090600000,LYR3,NetUnused
BEAGLEBONE_REVC,VIA364,45529500000,39090600000,LYR4,NetUnused
BEAGLEBONE_REVC,VIA448,53530500000,30289500000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA364,45529500000,39090600000,BOTTOM,NetUnused
BEAGLEBONE_REVC,VIA0,23114000000,29527500000,TOP,NINT/RXCLK/PHYAD1
BEAGLEBONE_REVC,VIA0,23114000000,29527500000,LYR2_GND,NINT/RXCLK/PHYAD1
BEAGLEBONE_REVC,VIA0,23114000000,29527500000,LYR3,NINT/RXCLK/PHYAD1
BEAGLEBONE_REVC,VIA0,23114000000,29527500000,LYR4,NINT/RXCLK/PHYAD1
BEAGLEBONE_REVC,VIA449,68332350000,28289250000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA0,23114000000,29527500000,BOTTOM,NINT/RXCLK/PHYAD1
BEAGLEBONE_REVC,VIA1,41910000000,42799000000,TOP,GPIO1_17
BEAGLEBONE_REVC,VIA1,41910000000,42799000000,LYR2_GND,GPIO1_17
BEAGLEBONE_REVC,VIA1,41910000000,42799000000,LYR3,GPIO1_17
BEAGLEBONE_REVC,VIA1,41910000000,42799000000,LYR4,GPIO1_17
BEAGLEBONE_REVC,VIA450,76708000000,30689550000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA1,41910000000,42799000000,BOTTOM,GPIO1_17
BEAGLEBONE_REVC,VIA2,46329600000,39090600000,TOP,GPIO1_16
BEAGLEBONE_REVC,VIA2,46329600000,39090600000,LYR2_GND,GPIO1_16
BEAGLEBONE_REVC,VIA2,46329600000,39090600000,LYR3,GPIO1_16
BEAGLEBONE_REVC,VIA2,46329600000,39090600000,LYR4,GPIO1_16
BEAGLEBONE_REVC,VIA451,53530500000,35090100000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA2,46329600000,39090600000,BOTTOM,GPIO1_16
BEAGLEBONE_REVC,VIA3,32639000000,28575000000,TOP,RMII1_REFCLK
BEAGLEBONE_REVC,VIA3,32639000000,28575000000,LYR2_GND,RMII1_REFCLK
BEAGLEBONE_REVC,VIA3,32639000000,28575000000,LYR3,RMII1_REFCLK
BEAGLEBONE_REVC,VIA3,32639000000,28575000000,LYR4,RMII1_REFCLK
BEAGLEBONE_REVC,VIA452,53530500000,33489900000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA3,32639000000,28575000000,BOTTOM,RMII1_REFCLK
BEAGLEBONE_REVC,VIA4,37211000000,30480000000,TOP,RMII1_REFCLK
BEAGLEBONE_REVC,VIA4,37211000000,30480000000,LYR2_GND,RMII1_REFCLK
BEAGLEBONE_REVC,VIA4,37211000000,30480000000,LYR3,RMII1_REFCLK
BEAGLEBONE_REVC,VIA4,37211000000,30480000000,LYR4,RMII1_REFCLK
BEAGLEBONE_REVC,VIA453,53530500000,31889700000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA4,37211000000,30480000000,BOTTOM,RMII1_REFCLK
BEAGLEBONE_REVC,VIA5,43929300000,34290254000,TOP,RMII1_RXDV
BEAGLEBONE_REVC,VIA5,43929300000,34290254000,LYR2_GND,RMII1_RXDV
BEAGLEBONE_REVC,VIA5,43929300000,34290254000,LYR3,RMII1_RXDV
BEAGLEBONE_REVC,VIA5,43929300000,34290254000,LYR4,RMII1_RXDV
BEAGLEBONE_REVC,VIA454,64008000000,32702500000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA5,43929300000,34290254000,BOTTOM,RMII1_RXDV
BEAGLEBONE_REVC,VIA6,30099000000,35814000000,TOP,RMII1_RXDV
BEAGLEBONE_REVC,VIA6,30099000000,35814000000,LYR2_GND,RMII1_RXDV
BEAGLEBONE_REVC,VIA6,30099000000,35814000000,LYR3,RMII1_RXDV
BEAGLEBONE_REVC,VIA6,30099000000,35814000000,LYR4,RMII1_RXDV
BEAGLEBONE_REVC,VIA455,69932550000,35490150000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA6,30099000000,35814000000,BOTTOM,RMII1_RXDV
BEAGLEBONE_REVC,VIA7,21336000000,35814000000,TOP,RMII1_RXDV
BEAGLEBONE_REVC,VIA7,21336000000,35814000000,LYR2_GND,RMII1_RXDV
BEAGLEBONE_REVC,VIA7,21336000000,35814000000,LYR3,RMII1_RXDV
BEAGLEBONE_REVC,VIA7,21336000000,35814000000,LYR4,RMII1_RXDV
BEAGLEBONE_REVC,VIA456,68332350000,35490150000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA7,21336000000,35814000000,BOTTOM,RMII1_RXDV
BEAGLEBONE_REVC,VIA8,37973000000,35814000000,TOP,RMII1_RXCLK
BEAGLEBONE_REVC,VIA8,37973000000,35814000000,LYR2_GND,RMII1_RXCLK
BEAGLEBONE_REVC,VIA8,37973000000,35814000000,LYR3,RMII1_RXCLK
BEAGLEBONE_REVC,VIA8,37973000000,35814000000,LYR4,RMII1_RXCLK
BEAGLEBONE_REVC,VIA457,68332350000,33089850000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA8,37973000000,35814000000,BOTTOM,RMII1_RXCLK
BEAGLEBONE_REVC,VIA9,33655000000,28575000000,TOP,RMII1_RXCLK
BEAGLEBONE_REVC,VIA9,33655000000,28575000000,LYR2_GND,RMII1_RXCLK
BEAGLEBONE_REVC,VIA9,33655000000,28575000000,LYR3,RMII1_RXCLK
BEAGLEBONE_REVC,VIA9,33655000000,28575000000,LYR4,RMII1_RXCLK
BEAGLEBONE_REVC,VIA458,75533504000,35490658000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA9,33655000000,28575000000,BOTTOM,RMII1_RXCLK
BEAGLEBONE_REVC,VIA10,35179000000,37973000000,TOP,RMII1_TXCLK
BEAGLEBONE_REVC,VIA10,35179000000,37973000000,LYR2_GND,RMII1_TXCLK
BEAGLEBONE_REVC,VIA10,35179000000,37973000000,LYR3,RMII1_TXCLK
BEAGLEBONE_REVC,VIA10,35179000000,37973000000,LYR4,RMII1_TXCLK
BEAGLEBONE_REVC,VIA459,73933558000,35490404000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA10,35179000000,37973000000,BOTTOM,RMII1_TXCLK
BEAGLEBONE_REVC,VIA11,31750000000,37211000000,TOP,RMII1_TXCLK
BEAGLEBONE_REVC,VIA11,31750000000,37211000000,LYR2_GND,RMII1_TXCLK
BEAGLEBONE_REVC,VIA11,31750000000,37211000000,LYR3,RMII1_TXCLK
BEAGLEBONE_REVC,VIA11,31750000000,37211000000,LYR4,RMII1_TXCLK
BEAGLEBONE_REVC,VIA460,76708000000,33089850000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA11,31750000000,37211000000,BOTTOM,RMII1_TXCLK
BEAGLEBONE_REVC,VIA12,43929300000,32690054000,TOP,RMII1_COL
BEAGLEBONE_REVC,VIA12,43929300000,32690054000,LYR2_GND,RMII1_COL
BEAGLEBONE_REVC,VIA12,43929300000,32690054000,LYR3,RMII1_COL
BEAGLEBONE_REVC,VIA12,43929300000,32690054000,LYR4,RMII1_COL
BEAGLEBONE_REVC,VIA461,69932550000,38690550000,LYR5_PWR,D
BEAGLEBONE_REVC,VIA12,43929300000,32690054000,BOTTOM,RMII1_COL
